Row,Error,Row Data
83,Invalid date format for CREATE DATE at row 83: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
84,Invalid date format for CREATE DATE at row 84: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
85,Invalid date format for CREATE DATE at row 85: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
86,Invalid date format for CREATE DATE at row 86: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
87,Invalid date format for CREATE DATE at row 87: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
88,Invalid date format for CREATE DATE at row 88: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
89,Invalid date format for CREATE DATE at row 89: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
90,Invalid date format for CREATE DATE at row 90: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
91,Invalid date format for CREATE DATE at row 91: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
92,Invalid date format for CREATE DATE at row 92: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
93,Invalid date format for CREATE DATE at row 93: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
94,Invalid date format for CREATE DATE at row 94: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
95,Invalid date format for CREATE DATE at row 95: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
96,Invalid date format for CREATE DATE at row 96: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
97,Invalid date format for CREATE DATE at row 97: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
98,Invalid date format for CREATE DATE at row 98: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
99,Invalid date format for CREATE DATE at row 99: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
100,Invalid date format for CREATE DATE at row 100: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
101,Invalid date format for CREATE DATE at row 101: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
102,Invalid date format for CREATE DATE at row 102: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
103,Invalid date format for CREATE DATE at row 103: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
104,Invalid date format for CREATE DATE at row 104: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
105,Invalid date format for CREATE DATE at row 105: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
106,Invalid date format for CREATE DATE at row 106: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
107,Invalid date format for CREATE DATE at row 107: nan,"{'No': nan, 'CREATE DATE': nan, 'USERNAME': nan, 'EVENT': nan, 'PROCESS DATE': nan, 'PROCESS BY': nan, 'AMOUNT': nan, 'Unnamed: 7': nan}"
